Headline,Negative_Score,Neutral_Score,Positive_Score,Overall_Sentiment,Sentiment_Label
"Netflix gets an upgrade from MoffettNathanson, which sees stock rising 20%",0.0,1.0,0.0,0.0,Neutral
Stanford professor: How to use AI as a 'force multiplier' to start a business,0.0,1.0,0.0,0.0,Neutral
Airbus and others call for sovereign fund and higher Europe tech autonomy,0.0,1.0,0.0,0.0,Neutral
"JPMorgan upgrades this cruise stock, sees more than 55% upside ahead",0.0,1.0,0.0,0.0,Neutral
"Klarna, nearing IPO, plucks Walmart fintech partnership from rival Affirm",0.0,1.0,0.0,0.0,Neutral
"Pioneering conference comes to Miami with volatility, crypto and AI as hot topics",0.0,1.0,0.0,0.0,Neutral
"Tesla gets a price target cut from Mizuho, which warns of softening EV sales",0.226,0.774,0.0,-0.3612,Negative
U.S. and global economic outlooks cut by OECD as Trump's trade tariffs weigh on growth,0.119,0.734,0.147,0.128,Positive
10-year Treasury yield slips as investors await retail sales data,0.0,0.714,0.286,0.296,Positive
U.S. consumers are feeling bad and expect inflation to spike,0.269,0.615,0.115,-0.4588,Negative
Telcos race to transition from 'dumb pipes' to tech players with help from AI,0.183,0.667,0.15,-0.1531,Negative
European markets rise ahead of German debt reform vote; QinetiQ down 21%,0.185,0.815,0.0,-0.3612,Negative
Ferrari buyers are getting younger. CEO says 40% of new clients are now under 40,0.0,1.0,0.0,0.0,Neutral
"China’s retail sales strengthen at the start of 2025, industrial output beats",0.0,0.827,0.173,0.3182,Positive
U.S. consumers think inflation will shoot up in the year ahead,0.194,0.806,0.0,-0.34,Negative
China announces plan to 'vigorously boost consumption' in bid to shore up economy,0.0,0.724,0.276,0.4939,Positive
Asia-Pacific markets mostly climb; 40-year JGB yield hits record high,0.0,1.0,0.0,0.0,Neutral
Stock futures fall after Dow posts worst week since 2023,0.313,0.687,0.0,-0.6249,Negative
Cramer: Could the 'Magnificent Seven' rise from the ashes? Why I think it's possible,0.0,0.769,0.231,0.5994,Positive
Trump's war on Biden's climate policy is creating a new form of EV range anxiety,0.283,0.606,0.111,-0.5267,Negative
Look inside: Live like you're on 'The White Lotus' at this luxury resort,0.0,0.828,0.172,0.3612,Positive
These are the 4 biggest things we're watching in the stock market this week,0.0,1.0,0.0,0.0,Neutral
Scott Bessent says the White House is heading off a financial crisis,0.272,0.728,0.0,-0.6249,Negative
Here's why more college-educated Americans are working multiple jobs,0.0,1.0,0.0,0.0,Neutral
A vibe shift around layoffs is happening across the workforce,0.0,1.0,0.0,0.0,Neutral
I’m 90 and I interviewed 150 people in old age—here are 5 'unexpected' truths about getting older,0.0,0.851,0.149,0.4215,Positive
"How China could beat the U.S. to nuclear fusion, as AI power needs surge",0.0,1.0,0.0,0.0,Neutral
"What to do if you receive a text about $1,400 stimulus payments",0.0,1.0,0.0,0.0,Neutral
Canada flexes economic muscle as tariff negotiations continue,0.0,1.0,0.0,0.0,Neutral
China's 'Fab Four' tech stocks are stealing the spotlight from the U.S.,0.222,0.599,0.18,-0.1779,Negative
